id_restaurant,place_name,address,latitude,longitude,cluster
106,Rujak Cingur Jawa Bu Umi,"Samping, Jl. Kemantren 3 No.21, Bandungrejosari, Kec. Sukun, Kota Malang, Jawa Timur 65148, Indonesia",-8.003713,112.611747,0
107,Rujak Cingur Joko Dolog,"Taman Apsari St, Embong Kaliasin, Genteng, Surabaya, East Java 60271, Indonesia",-7.264973,112.742677,0
108,Rujak Cingur Mbak Ida,"Jl. Kenangan No.39-49, Ambengambeng, Ngingas, Kec. Waru, Kabupaten Sidoarjo, Jawa Timur 61256, Indonesia",-7.357355,112.749752,0
109,Achmad Jais Cingur Rujak,"Jl. Achmad Jais No.40, Peneleh, Kec. Genteng, Surabaya, Jawa Timur 60274, Indonesia",-7.255425,112.740202,0
110,Warung PECEL TUMPANG,"Jl. Kilisuci No.14, Setono Pande, Kec. Kota, Kota Kediri, Jawa Timur 64129, Indonesia",-7.823322,112.018273,0
111,Pecel Tumpang Mbak Ti Pasar Perak,"Jl. Panglima Sudirman, Perak, Kec. Jombang, Kabupaten Jombang, Jawa Timur 61461, Indonesia",-7.578295,112.152257,0
112,Pecel Tumpang Bu Yuni,"Jl. Penanggungan No.46, Lirboyo, Kec. Mojoroto, Kabupaten Kediri, Jawa Timur 64117, Indonesia",-7.82231,111.997965,0
113,Warung Pecel Tumpang Bu TOMO,"Jl. Veteran Gg. II, Bujel, Kec. Mojoroto, Kota Kediri, Jawa Timur 64119, Indonesia",-7.807203,111.995591,0
114,Lontong Balap Asli Pak Gendut (Pusat),"Jl. Embong Malang No.38, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275, Indonesia",-7.259841,112.736849,0
115,Lontong Balap H.Hasyim,"Jl. Barata Jaya XVII No.62, Baratajaya, Kec. Gubeng, Surabaya, Jawa Timur 60284, Indonesia",-7.30524,112.760683,0
116,LONTONG BALAP PAK GENDUT SURABAYA,"di PKL-TANPA PHOTO, Jl. Kranggan depan bioskop garuda lama No.71, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60174, Indonesia",-7.256052,112.732011,0
117,Lontong Balap Pakde Bejo,"Jl. Ngagel Jaya Utara No.53, RT.002/RW.04, Pucang Sewu, Kec. Gubeng, Surabaya, Jawa Timur 60283, Indonesia",-7.28886,112.754491,0
118,Bakso Malang Cak Die,"Veteran, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65145, Indonesia",-7.956379,112.616854,0
119,Bakso Malang Pak Jun,"Jl. Doktor Sutomo, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",-7.971538,112.635781,0
120,BAKSO MALANG CAK CULL,"Jl. Sigura - Gura No.34, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",-7.957737,112.607584,0
121,Bakso Malang,"Pujasera Gandrung No.6 Jl. Bima Sakti no.2 Lowokwaru, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",-7.94073,112.593025,0
122,Bebek Sinjay A. Yani,"Ruko Grand Ahmad Yani Blok 151H, Jl. Ahmad Yani, Jemur Wonosari, Kec. Wonocolo, Surabaya, Jawa Timur 60237, Indonesia",-7.328049,112.731997,0
123,Bebek Sinjay Dharmahusada,"Jl. Dharmahusada No.160B, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285, Indonesia",-7.268046,112.771178,0
124,Bebek Sinjay,"Jl. Raya Ponti No.3, Wismasarinadi, Magersari, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61212, Indonesia",-7.446226,112.704848,0
125,Bebek Sinjay Tidar,"Jl. Tidar No.1, Sawahan, Kec. Sawahan, Surabaya, Jawa Timur 60251, Indonesia",-7.258443,112.732627,0
126,Gethuk Pisang Kediri,"Jln Raya, Putih, Kediri Kertosono, Kabupaten Kediri, Jawa Timur 64182, Indonesia",-7.778493,112.019259,0
127,GETUK PISANG HIDAYAH,"Jl. Kertoyudo No.152, Kwagean, Jatisari, Kec. Kepung, Kabupaten Kediri, Jawa Timur 64293, Indonesia",-7.791549,112.246852,0
128,Gethuk Pisang,"Jl. Ketapang III, Dusun Ketapang, Suko, Kec. Sukodono, Kabupaten Sidoarjo, Jawa Timur 61258, Indonesia",-7.374455,112.700807,0
129,Getuk Pisang Istimewa Pattimura,"Jl. Pattimura No.61, Jagalan, Kec. Kota, Kota Kediri, Jawa Timur 64125, Indonesia",-7.820862,112.013942,0
130,RM Rajungan Manunggal Jaya,"Jl. Manunggal No.100, Keduran, Panyuran, Kec. Palang, Kabupaten Tuban, Jawa Timur 62318, Indonesia",-6.904956,112.080646,4
131,Kare Rajungan Dan Nasi Cumi,"Jl. Ahmad Yani, Megersari, Gedangan, Kec. Gedangan, Kabupaten Sidoarjo, Jawa Timur 61254, Indonesia",-7.385179,112.728393,0
